model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,snum,assert,date
roadNetCA,1971281,5533214,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:43
roadNetCA,1971281,5533214,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:45
roadNetCA,1971281,5533214,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:47
roadNetCA,1971281,5533214,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:27:48
ssca2,1048577,157877986,1,3,30.657691,100000,0,121.678963,180465,182069,182329,2825037,-1,100000,-1,2021-10-14.00:28:34
ssca2,1048577,157877986,1,3,70.948503,100000,0,128.408112,147317,157971,161086,2464127,-1,200000,-1,2021-10-14.00:29:21
ssca2,1048577,157877986,1,3,143.154934,100000,0,100.926800,110805,157175,197851,1630669,-1,400000,-1,2021-10-14.00:30:07
ssca2,1048577,157877986,1,3,246.976211,100000,0,129.809526,128472,179427,336185,1761410,-1,800000,-1,2021-10-14.00:30:54
ssca2,1048577,157877986,1,3,379.770372,100000,0,148.734211,116983,200442,632263,1482493,-1,1600000,-1,2021-10-14.00:31:42
ssca2,1048577,157877986,1,3,498.412587,100000,0,186.464524,135878,226570,1375870,1462071,-1,3200000,-1,2021-10-14.00:32:30
ssca2,1048577,157877986,1,3,601.850164,100000,0,212.279547,151760,216129,2617542,1364167,-1,6400000,-1,2021-10-14.00:33:19
ssca2,1048577,157877986,1,3,730.449408,100000,0,236.967248,172508,210372,5333642,1280583,-1,12800000,-1,2021-10-14.00:34:09
ssca2,1048577,157877986,1,3,903.390865,100000,0,285.590464,206741,226454,11912903,1251191,-1,25600000,-1,2021-10-14.00:35:02
ssca2,1048577,157877986,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:35:47
ssca2,1048577,157877986,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:36:32
wiki-links,5710993,130160392,1,3,163.168084,100000,0,119.800362,159850,164241,172104,2407852,-1,100000,-1,2021-10-14.00:38:05
wiki-links,5710993,130160392,1,3,212.758524,100000,0,126.147000,135045,149991,188435,2110833,-1,200000,-1,2021-10-14.00:39:38
wiki-links,5710993,130160392,1,3,299.798969,100000,0,114.630799,119062,145663,218748,1731447,-1,400000,-1,2021-10-14.00:41:11
wiki-links,5710993,130160392,1,3,427.946504,100000,0,118.290046,112135,150605,419977,1497855,-1,800000,-1,2021-10-14.00:42:44
wiki-links,5710993,130160392,1,3,646.599865,100000,0,129.098066,105648,150547,581637,1328779,-1,1600000,-1,2021-10-14.00:44:18
wiki-links,5710993,130160392,1,3,973.750241,100000,0,137.385714,103875,151665,1084612,1154635,-1,3200000,-1,2021-10-14.00:45:53
wiki-links,5710993,130160392,1,3,1477.744595,100000,0,154.698885,105861,149785,2012289,1027352,-1,6400000,-1,2021-10-14.00:47:30
wiki-links,5710993,130160392,1,3,2287.162645,100000,0,180.319709,109850,148552,3576175,911102,-1,12800000,-1,2021-10-14.00:49:10
wiki-links,5710993,130160392,1,3,3508.268782,100000,0,249.138394,113149,146809,9027969,790021,-1,25600000,-1,2021-10-14.00:50:54
wiki-links,5710993,130160392,1,3,5577.204840,100000,0,311.569572,110030,138275,13815741,675869,-1,51200000,-1,2021-10-14.00:52:47
wiki-links,5710993,130160392,1,3,8971.399964,100000,0,552.508271,128984,154830,35223752,612714,-1,102400000,-1,2021-10-14.00:54:57
wikitalk,2394385,5021410,1,3,72.480819,100000,0,78.869880,107005,131495,624253,1496129,-1,100000,-1,2021-10-14.00:54:58
wikitalk,2394385,5021410,1,3,92.692799,100000,0,88.414267,100738,118570,1055591,1374705,-1,200000,-1,2021-10-14.00:55:00
wikitalk,2394385,5021410,1,3,118.163592,100000,0,100.546261,101010,116446,2041438,1316367,-1,400000,-1,2021-10-14.00:55:02
wikitalk,2394385,5021410,1,3,160.741958,100000,0,117.794157,100835,112690,3144460,1294028,-1,800000,-1,2021-10-14.00:55:04
wikitalk,2394385,5021410,1,3,231.254503,100000,0,136.533155,100563,110250,5402161,1176462,-1,1600000,-1,2021-10-14.00:55:06
wikitalk,2394385,5021410,1,3,351.762101,100000,0,182.572465,100686,110028,10564152,1112621,-1,3200000,-1,2021-10-14.00:55:09
wikitalk,2394385,5021410,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:55:10
wikitalk,2394385,5021410,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:55:12
wikitalk,2394385,5021410,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:55:13
wikitalk,2394385,5021410,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:55:14
wikitalk,2394385,5021410,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:55:16
wiki_talk_en,2987536,24981163,1,3,95.992953,100000,0,85.401101,107458,144447,1084905,1482362,-1,100000,-1,2021-10-14.00:55:20
wiki_talk_en,2987536,24981163,1,3,115.729441,100000,0,94.455402,101253,130507,1374895,1365723,-1,200000,-1,2021-10-14.00:55:25
wiki_talk_en,2987536,24981163,1,3,136.692856,100000,0,104.741955,100492,121039,1963271,1305805,-1,400000,-1,2021-10-14.00:55:29
wiki_talk_en,2987536,24981163,1,3,180.525115,100000,0,123.349674,100096,118577,3597541,1218976,-1,800000,-1,2021-10-14.00:55:34
wiki_talk_en,2987536,24981163,1,3,253.324113,100000,0,148.602423,100798,113554,5734188,1152650,-1,1600000,-1,2021-10-14.00:55:39
wiki_talk_en,2987536,24981163,1,3,369.814758,100000,0,179.578372,99781,111038,9387435,1052462,-1,3200000,-1,2021-10-14.00:55:45
wiki_talk_en,2987536,24981163,1,3,562.318295,100000,0,290.817805,100642,110677,20488727,976828,-1,6400000,-1,2021-10-14.00:55:52
wiki_talk_en,2987536,24981163,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:55:56
wiki_talk_en,2987536,24981163,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:56:00
wiki_talk_en,2987536,24981163,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:56:04
wiki_talk_en,2987536,24981163,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:56:08
ba-1m-8m,1000000,7999964,1,13,29.807276,100000,0,92.711503,166972,177867,198924,173963,5,100000,-1,2021-10-14.00:56:11
ba-1m-8m,1000000,7999964,1,13,67.549532,100000,0,86.298888,129555,151528,174474,142518,4,200000,-1,2021-10-14.00:56:14
ba-1m-8m,1000000,7999964,1,13,123.771870,100000,0,101.389448,111814,155330,246357,162657,4,400000,-1,2021-10-14.00:56:18
ba-1m-8m,1000000,7999964,1,13,208.459250,100000,0,112.331828,109467,144647,280801,192950,4,800000,-1,2021-10-14.00:56:22
